MR-POMDP,SR-POMDP,Placebo
2394,1690,832
765,410,1442
560,913,864
390,2064,2496
1530,1494,2977
1790,320,2816
2210,1342,2185
1584,560,3600
750,410,3502
2067,960,2170
3122,1651,3135
4460,1905,2730
1728,2831,3078
1482,610,1545
2318,960,646
1456,741,2940
1008,812,2880
380,414,2400
1425,540,2088
790,570,700
2340,391,3654
2928,1188,1162
3230,750,1243
3492,940,986
1856,1932,3056
1078,1092,1989
1404,1638,1859
1648,1288,1479
770,3040,4580
2338,1428,2070
4720,888,468
4080,3330,3168
1672,2869,612
494,940,2088
3705,672,2616
3568,1881,2380
2808,2286,975
3315,750,1284
1904,275,975
429,308,2775
1128,1387,645
352,1602,1464
663,891,2856
1376,518,845
1260,1946,2532
1248,803,360
2176,2299,2268
984,570,1610
2193,1392,1335
2204,1668,4142
2400,611,3978
675,672,1660
2338,407,779
936,2278,2340
540,434,3760
1700,1140,3172
1404,1144,2760
2400,803,1740
2448,1387,3978
1905,1520,2321
3859,675,2535
3165,1836,900
2167,896,3180
1200,2976,1716
3180,658,3689
969,336,1501
1309,1120,2190
2490,420,2265
748,1428,3584
752,2278,2140
2052,2740,2970
4731,1224,1989
2688,918,1121
969,506,3198
1634,784,3936
810,665,3472
1677,1938,2400
385,1200,2125
3600,450,4484
2740,784,1661
2793,2414,3135
1976,1666,4522
2739,1495,2880
1625,1507,1651
1456,2584,2635
676,1003,585
3192,1782,2240
2760,1130,3180
1344,600,336
900,3420,1500
1290,1176,2520
2244,810,2624
2223,740,3056
1694,1729,2244
3582,850,1914
1635,1397,2585
684,2516,2964
1008,2990,1837
4500,1196,1960
2535,722,2475
1932,1260,1625
480,1136,2976
1410,1284,400
2466,896,4780
1278,406,475
1020,1788,2990
220,1440,2352
1752,966,4731
2820,741,2556
2584,507,1430
2128,330,3648
640,742,910
3686,870,2856
1824,646,2700
2873,1529,330
750,1960,1872
1020,2052,1980
2864,2058,2415
812,2460,3060
240,880,2952
429,2250,1188
2744,620,360
1638,1596,4482
3105,1392,3430
1930,1440,2472
1955,1794,708
330,1272,3585
1200,1596,2242
507,3220,644
2376,2500,4230
3325,324,2682
1547,240,2745
2067,2124,3374
1560,750,3042
2743,693,936
594,1552,2784
3383,1176,1881
2550,1280,290
696,1190,1248
1937,576,3600
481,231,2256
2828,1339,980
858,473,792
3234,1498,1903
730,2520,2480
2669,1080,1420
460,936,1850
1932,495,2364
2592,940,2398
2926,760,645
3002,1400,3225
2880,527,2000
3996,1944,432
1639,1441,1235
4066,4142,1703
1050,1547,3240
2346,2196,2100
1140,1957,2584
1960,1280,1512
1770,720,1998
500,602,2924
1216,702,3456
1680,1562,3180
912,1746,493
525,1946,2980
1125,1120,3204
220,1300,3636
2535,1651,680
1547,2585,1422
363,1710,2366
4000,2900,4140
2226,663,352
1050,1808,4313
1824,1344,3840
1092,2204,1184
640,420,740
2040,2800,3270
2145,1343,2907
1524,1664,4660
1725,598,2070
910,1222,1683
1331,1480,4820
480,1275,3696
2052,495,1807
3315,336,2520
2400,1484,442
1520,918,3996
464,2860,2940
1729,924,4522
286,1974,1910
1387,1900,336
3705,620,4200
1482,900,1520
330,1480,2472
2484,1680,784
2412,1110,2343
576,598,2080
2718,2044,1760
2004,1843,970
2445,1386,2280
2052,434,3312
490,1170,3888
1316,2940,2546
2563,2176,3006
544,2322,2336
3458,570,2743
3060,260,1860
1560,442,1691
336,1575,1308
1368,1596,572
2715,1443,649
2016,988,3021
1602,759,528
3146,2337,2784
2772,714,1274
1744,1430,4040
918,2412,3960
918,2260,4122
2528,966,3216
1173,874,4693
3940,1236,3780
1540,1350,2926
3000,2013,880
2071,2235,3375
560,1740,1800
2980,1972,1040
2265,275,854
1656,2574,3290
1710,2774,2938
3408,954,2457
1500,1680,740
3096,1452,3290
2379,1767,2352
2916,2120,1872
3318,1274,2002
1547,1760,1260
1692,1728,1440
736,2679,1309
624,1463,1122
3374,1755,1634
1068,516,600
800,420,1440
847,2088,1275
792,1599,1320
888,1210,2198
4194,992,1550
1022,768,3584
1470,1683,1582
2192,2295,2870
2392,1014,4320
357,2502,4482
351,972,2212
1540,1292,2808
3792,2057,2724
595,1674,627
2736,817,2800
3927,1919,855
2865,510,540
1060,1700,3477
3838,704,2160
4351,368,1545
320,826,1580
4040,2130,2028
1672,2130,3220
780,1222,1040
936,741,4760
816,2261,2635
2585,1692,1815
3021,615,3382
3332,2484,352
845,2740,3154
2584,1400,1332
1760,1240,2574
2220,230,2920
1386,490,1830
476,1962,2680
435,2440,1144
4176,459,551
4392,1989,4256
1200,2088,780
752,1824,3690
3553,2030,2535
1716,858,594
2250,1188,2808
525,1273,2100
770,525,2453
1620,682,3280
1272,2470,408
273,1280,230
3154,1430,1530
1694,429,1360
3015,1649,4420
1694,1596,3900
3400,924,3029
592,784,1510
4140,315,564
1638,1070,1452
930,952,924
3264,451,2380
3728,855,1804
855,1128,1650
2691,2860,1044
3136,522,1728
3000,1649,820
948,1290,820
1950,2460,416
969,2278,1210
1224,946,408
1940,1264,858
720,1750,1957
819,1504,1836
2805,1860,1079
1649,1554,4940
2864,1428,3728
4600,2160,740
480,1062,1079
3042,810,984
1677,2280,3340
1620,1444,2232
1053,322,714
2646,2240,3936
1364,494,2290
1164,1683,2320
1560,2567,602
1600,1742,4680
660,2516,3344
513,1469,2040
1173,1806,2318
3330,252,2720
1428,420,800
2028,2147,2563
2288,1287,637
3264,210,912
4131,2400,2040
2938,744,576
2470,1564,3480
2977,2926,2506
2960,924,564
1288,418,4580
3893,1044,1924
732,1260,4120
3860,1872,1968
286,1520,1744
429,1716,2475
1350,1944,3375
2646,741,2409
1690,2147,1950
2964,350,2532
1026,870,4260
2416,2057,1422
1590,2088,1836
3435,1728,1302
1590,1639,1290
3003,1027,1638
847,2800,2844
3220,1968,1200
2676,1232,407
2166,1848,2430
741,612,2464
4712,760,3140
1596,1612,3133
2492,704,3723
2862,1130,2926
960,1040,1080
3570,924,2562
1040,715,1320
1095,602,3620
1339,2850,830
3952,1746,456
539,1554,2880
3145,1904,850
880,876,3211
540,945,1209
3224,1862,1170
826,2002,720
640,2880,2416
2563,1513,2041
3213,1340,4237
1000,210,3936
3720,1275,4338
1572,1160,1767
1870,680,3390
1349,3040,3438
2040,1610,2736
1596,774,2366
363,871,900
1236,1422,2156
1672,1320,1220
3108,1694,2698
2128,1445,3178
1340,756,2580
3924,1496,1512
2295,684,2185
1452,2920,1620
2198,2040,1760
1080,400,3280
4114,420,756
3856,1577,2704
1800,1292,4294
820,1932,896
1818,969,2700
1188,574,836
1452,1240,2067
1162,871,741
2112,1840,3225
1605,1236,1632
1350,740,1672
504,2486,768
2128,1001,2796
1740,528,406
1840,1755,1260
4617,506,2400
795,2412,1168
1162,2261,1819
4482,629,760
1100,429,1596
2772,1067,2620
768,1952,3220
4066,1988,2185
3740,612,1880
2235,558,450
1600,1140,1716
1440,1530,3468
918,810,1452
3451,544,1968
1456,702,2227
1833,704,1530
2635,585,510
3304,1460,2460
2204,1440,1512
1661,1830,2484
442,1022,3604
4360,2052,2800
1972,1404,1330
756,2071,2610
2185,1105,864
480,286,1729
528,948,2160
4482,2196,2662
2106,816,4230
338,260,580
1456,378,3111
540,1003,3792
308,1216,2754
3360,968,832
462,720,1680
1365,360,880
1040,700,3820
3640,592,1092
3100,418,1368
1610,988,1980
2370,1680,640
952,1944,4086
3984,2170,1740
4237,2208,1560
1391,442,480
1584,2603,3744
3133,1441,2684
2112,616,629
4374,798,3600
2096,1545,451
1224,2380,1008
4165,1632,2415
2166,1368,1890
2592,1450,3492
1824,867,962
3030,720,2850
1605,2869,400
1710,527,2280
930,1504,780
2128,1510,2512
1668,448,2327
852,570,1392
1520,1596,1833
2420,1245,2904
4680,3904,2400
2055,370,1067
871,1240,3382
1853,1760,1836
1848,1176,940
2130,1005,2240
2533,1160,2212
3135,1656,3104
2576,2060,290
1974,308,3280
540,798,2944
1792,1071,2985
352,1605,756
4000,1320,1092
731,2448,3474
1584,1350,2695
2754,1190,3888
1020,528,2060
408,1830,600
492,1170,2992
1368,670,2071
750,2502,1940
2534,920,2128
901,1760,2014
2120,2000,2304
