MR-POMDP,SR-POMDP,Placebo
199,165,204
77,94,89
121,140,152
43,76,161
83,74,107
114,126,204
26,139,153
27,168,147
53,29,38
108,109,195
151,52,102
111,129,42
143,171,91
43,60,132
157,44,206
64,28,201
113,116,158
109,71,144
115,75,167
96,24,38
50,154,123
84,41,192
160,96,178
118,64,144
100,166,41
159,76,167
26,83,51
46,37,173
135,135,142
162,147,163
60,128,96
73,54,218
135,120,168
48,95,45
118,116,33
28,49,155
163,47,46
56,100,167
88,159,176
46,131,218
154,132,166
33,162,208
92,57,126
83,114,146
62,149,131
125,85,206
58,92,205
76,41,144
150,70,72
106,78,67
147,166,164
43,138,216
51,171,161
121,171,42
146,110,151
122,112,94
124,50,172
169,48,219
111,140,158
152,70,66
94,63,158
40,91,37
145,149,85
164,87,191
50,63,78
154,75,93
106,127,171
102,46,212
59,151,69
126,94,177
98,56,129
147,41,52
104,114,54
156,36,192
45,116,154
71,58,165
167,71,159
39,63,177
127,79,156
116,66,63
34,142,168
160,152,153
36,169,98
128,126,152
35,133,208
83,172,148
47,168,118
29,37,138
56,78,225
137,74,138
123,148,181
114,69,154
99,80,151
155,95,199
141,157,101
134,89,184
34,120,166
29,143,159
57,34,168
42,161,71
61,79,101
161,72,112
120,103,149
67,100,148
75,34,129
43,124,186
113,79,40
30,147,199
134,43,148
149,64,151
31,111,93
75,76,39
32,52,150
65,159,172
34,136,89
45,62,172
79,93,149
114,165,54
101,82,73
132,161,201
41,59,80
136,41,181
115,70,185
56,173,173
159,33,148
122,63,182
42,134,56
107,173,168
75,47,201
85,77,142
30,29,174
148,133,178
147,83,109
36,74,168
150,84,144
38,151,86
92,143,152
48,60,120
113,141,27
89,73,35
164,35,156
75,38,65
48,30,114
55,74,61
25,148,129
143,85,95
29,67,36
28,33,79
105,110,33
161,54,84
156,131,79
32,158,159
71,31,121
143,45,142
102,98,133
101,87,187
119,100,72
157,69,222
87,146,166
95,156,194
97,137,145
62,45,190
48,55,186
94,26,163
143,89,204
116,126,146
158,104,131
121,115,186
93,125,64
163,45,203
120,26,120
52,121,59
92,54,200
56,126,137
135,158,165
58,156,154
49,174,89
150,129,34
87,30,174
145,96,209
55,80,30
115,73,186
128,61,152
167,172,65
106,72,69
63,120,100
64,97,143
27,113,167
118,66,203
97,97,112
68,161,55
142,72,151
132,73,192
50,132,219
49,134,180
115,137,141
89,71,215
72,133,155
162,120,216
81,92,121
56,85,199
87,132,137
30,144,35
87,67,185
37,101,111
139,163,152
152,125,149
151,164,136
144,91,215
28,122,52
132,74,136
141,107,117
76,100,203
39,36,136
68,61,47
160,89,114
156,34,204
51,123,215
102,146,27
121,35,156
32,102,164
165,117,177
94,69,204
36,168,133
79,35,37
133,82,101
52,37,115
121,74,92
30,165,187
24,131,176
130,110,58
51,130,124
154,159,193
99,123,46
75,117,165
160,123,176
122,142,174
101,57,164
41,84,100
162,74,68
46,141,167
34,133,161
161,104,146
147,165,61
88,153,131
150,116,110
114,150,56
128,109,159
134,159,141
108,63,85
146,64,148
122,106,91
37,149,161
105,132,150
158,141,174
122,98,37
37,153,50
123,53,34
48,77,45
48,121,127
25,122,121
80,107,49
36,98,95
60,161,152
75,29,187
120,37,120
128,85,198
160,151,195
76,153,181
112,107,34
160,165,56
61,121,151
153,56,212
73,141,166
27,48,144
93,130,49
127,112,161
151,91,138
141,34,170
110,63,188
151,100,202
168,101,152
137,88,145
131,96,173
164,33,166
26,149,139
73,61,136
149,157,137
37,136,151
60,127,211
37,48,169
118,102,127
150,156,134
149,154,193
72,90,139
95,142,181
42,94,146
89,168,186
122,174,25
78,141,223
30,37,135
158,139,167
135,108,56
161,70,148
25,100,108
171,70,115
82,53,215
46,107,163
143,170,82
107,115,168
34,147,146
119,39,165
43,95,137
156,63,190
122,30,145
29,72,193
112,143,69
170,66,149
138,39,158
64,26,206
40,154,94
112,109,202
73,144,158
137,79,105
132,62,180
171,69,61
70,136,103
124,92,63
162,113,157
65,72,166
143,164,71
99,65,47
30,172,155
65,102,56
167,38,49
165,117,203
103,73,131
25,156,56
57,48,94
64,111,110
50,100,37
129,87,149
141,66,116
92,32,152
94,65,66
126,143,170
58,147,201
149,160,134
154,95,210
153,31,204
94,168,46
71,144,91
