MR-POMDP,SR-POMDP,Placebo
5360.572858,652.6697902,4596.779309
3347.661427,1111.582161,2366.624217
3730.173574,4925.395937,4932.123012
3968.0159,2329.26577,4519.565004
932.2416592,691.287915,4158.640878
889.4335554,1596.314204,4288.318563
2563.186154,4559.962241,3579.588458
2799.785326,1276.223291,5413.507333
1252.014741,4016.092897,607.8421818
3266.697372,2599.778377,5748.464198
2294.034224,2806.288531,2812.496003
4266.432921,2372.375987,4411.847721
1370.771929,4127.271837,3660.509995
5258.682257,2480.526114,4790.597457
994.0300111,1751.065781,3254.592235
2071.831098,2010.945873,4599.722132
2441.501679,1447.945618,5186.254696
2281.447196,736.196756,6161.303376
3480.912598,2842.027371,4247.775421
2468.980817,2257.652015,2951.60249
3326.193085,2312.787102,4855.643974
3617.5029,1944.956658,3274.690777
3565.501352,1406.181228,5783.785119
2698.371652,2788.383416,4369.225322
4531.449128,2081.118741,2556.590959
1706.018536,3066.18924,3892.985719
484.0535612,2814.920071,1608.268711
4539.690204,3160.569277,1915.10502
1866.009323,2591.235166,4264.272014
1798.632923,2408.704037,6063.259712
2399.969553,948.4605749,4114.908381
2150.154293,4252.75868,5384.70005
2297.784669,2279.272888,4429.440449
2659.307702,3236.010156,2279.071755
4002.50669,1101.438019,1289.79486
1014.424339,1285.459261,3497.734181
1033.738939,1336.819339,5216.752414
2055.328531,3924.198631,1071.218416
1820.920683,1529.471988,4474.000994
2621.914241,2877.914364,794.1254787
2778.0005,2143.795117,5328.042068
2394.424163,2741.41353,3408.370447
2367.627021,1476.91595,3747.29313
972.3299548,3968.778605,3588.597851
884.4012017,2384.335104,890.8880059
2323.339604,2107.479118,4229.235472
3353.685338,2940.438133,3946.699653
899.507433,1646.824301,3522.34281
1984.28789,1474.91723,3170.470678
3529.376863,4200.416811,2533.214131
899.8697947,4331.676001,5631.266228
1884.039049,2933.025398,4960.182903
2489.822567,2614.712396,4958.768857
1832.734547,1929.132889,4727.194701
3912.665423,1742.456822,2905.287515
1702.347618,879.341186,6251.672776
3023.441026,1426.271103,5775.829544
601.8082455,1608.576643,6867.902304
727.2027809,705.0048832,4370.933893
2592.458918,1782.466814,6234.972678
3121.678434,3333.417865,4233.685782
2556.344271,765.2893407,4011.44903
748.7435218,1411.812861,2339.705012
829.8440228,3752.247442,1792.20806
3195.853357,3867.543033,4014.109173
1448.974814,1835.211694,5514.690448
1985.071871,1382.130329,3133.207737
2709.698426,2059.733441,5056.99187
2660.817294,2712.356738,577.7799366
2525.721583,1690.873915,3501.672067
3317.049234,4177.59314,4512.857394
3788.374747,1728.465392,4368.017828
1183.307824,2547.012622,1329.813757
2547.716691,1774.768196,4886.278478
1670.365972,4086.777331,2184.146455
2276.470438,2898.986761,6071.012108
1834.737162,2484.358833,3084.261947
3931.256377,2546.337197,4252.686604
3683.804782,3867.279936,3737.278229
3287.267037,2075.956294,6121.048099
3686.110047,2184.227464,896.7285038
3288.161949,4196.092901,1408.84234
2641.86689,3963.429457,1548.999762
3753.075412,4216.65564,4070.970198
1471.763557,1844.136016,1770.010646
3410.404104,1882.152121,5639.172499
2183.046787,1867.055731,1221.272067
946.3308264,1478.058167,3673.617263
1999.578022,858.1540198,5688.470129
1021.090895,1392.378864,5135.095988
3657.297127,1949.308253,5260.236309
2185.374128,1243.091795,5322.225632
902.3537289,1440.382034,2957.806117
3810.135358,1182.441129,5870.738192
2649.43583,4232.219614,964.9164998
541.7118917,481.9568915,5707.925432
2056.400036,1775.634583,735.73445
1960.923802,549.789958,1819.638942
3307.684951,2287.679414,5813.662701
735.374364,3758.228835,5858.047219
607.6257337,1062.946571,6391.019733
1752.887774,1924.196496,1766.891838
2507.452128,2667.968535,3752.894755
3865.918837,549.6111931,1050.337133
925.132603,4247.653855,6097.269617
2476.647986,3990.82314,4127.25876
1887.916279,3431.184425,4891.465497
3586.981146,1143.581939,5851.167499
3438.503198,3475.9135,1959.685441
2230.141009,4096.988339,1647.023216
2600.863914,1155.032458,5691.970022
701.5235524,1950.018664,4119.025751
3543.521814,1451.759628,5516.704546
2995.004434,4279.904198,4564.062208
1079.294816,966.5660208,3888.707323
3017.22956,3752.64833,1542.567009
1690.591662,2911.058271,4882.76376
1896.831585,1345.620581,2468.734546
3665.517242,4501.514203,4179.387762
3740.732138,1409.564871,3783.888753
2041.53332,1972.420212,1283.027383
2755.977783,4069.568624,1351.685573
735.8875944,4034.337985,2187.066873
1946.395299,2167.645947,6630.664516
4243.646257,661.9747746,3140.97876
3184.534919,3883.066451,5035.917135
875.6744216,3089.115201,806.9290359
2296.766083,1643.54532,3706.66078
625.3644916,1915.514212,6274.499182
1308.001772,1821.567701,1653.830395
1804.474924,518.3461098,2197.412687
1429.508599,3195.364679,4927.374848
1140.470433,1329.27037,3116.693772
1733.228578,2583.502013,4678.855304
4595.270874,3607.23097,4447.956654
709.2898732,4663.296205,4842.912358
1646.867188,2056.604029,2306.097882
3832.304371,1932.244811,2610.456883
1449.35466,4737.124286,5909.506669
698.4868786,3336.507875,2497.694401
2013.00538,1288.544017,3869.349973
531.4591226,1207.711976,3748.851254
1431.090874,1006.863939,5441.454602
1242.740193,5067.01987,4506.027926
3440.392038,4265.420781,3638.297013
1978.488257,1964.668872,1485.908152
3806.337875,2588.17756,6021.233994
2227.988302,1700.033046,4071.787616
4807.503871,4465.420926,995.3954049
2637.748199,3201.370092,4171.094235
1784.852376,2856.800638,4947.439224
3554.985184,4413.184341,5084.435893
1227.280911,2201.286729,4267.784273
2938.133425,3593.348348,5199.628941
3175.725412,3764.074067,2244.325195
2987.570456,964.1312375,2146.758252
3217.408341,1591.520486,1349.323822
3776.624131,2975.034144,3033.021203
2007.881661,1198.751124,2989.13242
1118.323441,3436.232784,4446.715939
4101.149599,858.0825826,3986.123953
1259.185583,3622.345794,839.7237161
2231.329012,3026.198821,4117.560887
1409.819259,3843.222235,6135.275659
2358.944437,1493.354673,2201.357785
3171.827578,3932.268878,2269.025265
3652.352785,3497.388825,4829.379471
2702.501163,3681.466877,1084.923082
2099.608395,3037.763668,5163.273509
835.0377487,4005.49838,5867.874793
3095.378184,2101.26558,5318.130124
2476.821491,4994.870679,3655.546216
2457.022361,2670.527149,4895.023229
2392.905997,2157.477285,5203.43617
1768.695358,2115.585861,531.1580289
3069.010965,2733.882787,5345.83495
2032.087769,1645.783553,3207.551802
1033.467263,484.8509725,835.2182989
3586.812708,1473.194881,2412.259114
584.3424537,794.5971992,5441.158597
3713.07652,2678.75433,2412.239417
3197.955869,878.5504381,5213.292009
3067.853216,2207.854323,4901.208206
1509.385558,3177.719052,3752.065676
4480.701992,3332.9931,5265.50776
2786.758432,1893.792283,4560.223945
3996.331574,3853.931953,1291.37607
926.7121892,1165.380314,5550.157504
3214.591115,1298.455349,4104.589432
3367.323041,666.3987247,3524.22207
578.4310996,2074.300392,1823.513973
3968.490679,2829.09043,720.8026907
2284.910806,3388.221611,6177.786914
3371.801294,1648.073684,4807.95741
3021.952335,3322.59879,5560.652504
4485.149098,1789.512472,6303.263764
2424.303128,574.95514,1965.028027
2434.137149,885.0999587,3698.605051
984.1446167,2949.445812,5477.762167
3892.647494,2404.520567,1537.590677
2044.104437,2047.629962,3917.771156
2520.133713,1644.860683,4628.334065
2412.070266,1131.180537,3558.627764
1955.351035,3548.952177,5030.138589
2238.693977,1451.540403,6777.804471
1710.90479,1733.540595,4509.779511
1520.780616,2821.976252,2579.735509
2356.543138,1083.472579,4991.588874
840.6244207,3545.852401,3129.506244
1750.195951,1508.042831,4115.631473
2474.587945,4176.140063,2829.436301
4470.80608,3074.65433,5403.572732
4687.925118,999.4834607,4143.541073
2426.248275,3179.83344,4622.176664
4155.179292,1615.169976,4935.991864
3830.033696,3312.682973,7045.769529
581.3135076,2045.303825,4697.244866
1080.111588,4290.330093,2099.376416
1125.602319,1737.981386,6514.618963
3491.508834,1841.568952,4021.024262
2879.631075,2454.806593,4002.334934
3819.010003,1409.638749,4645.71941
546.4552468,4684.277225,4067.993963
988.7006663,1065.98154,1178.726128
786.2613968,4300.334884,5038.406822
3924.55891,4955.925189,4977.473235
3441.278669,3243.470578,4095.666881
4393.748625,1414.824877,1624.925081
2636.741696,1806.192735,3070.746059
2791.094377,1893.122017,1084.624385
2829.834468,1528.924658,6137.578605
2769.455937,738.3100451,4973.66271
5041.962285,4228.864521,1203.084794
2259.956771,1779.914554,2898.656587
864.7993081,3946.272827,3131.485534
1971.846136,750.8228954,3264.126641
4362.172601,1960.209318,891.4043896
2670.204753,1965.761694,671.5056067
1225.771473,1086.976301,5095.753236
1579.515512,2719.287515,2471.896744
4807.542086,860.7112423,3837.476159
1151.329084,2977.260116,1429.835686
3716.425966,2384.945758,4071.137664
4067.758822,2404.428032,4515.202204
4839.880237,573.6426032,2584.707298
2985.082579,3594.615351,3309.569614
2720.635491,3919.046682,4788.703643
1599.799715,1641.541994,1491.570271
1548.371243,3840.020958,3407.042067
925.8334877,3832.276501,2881.948103
3609.013867,990.6986263,6217.783092
2408.945954,562.0049749,3348.76111
1556.207549,3204.939223,1512.3263
1012.934679,4004.466352,4084.51891
1382.691542,3684.301419,4474.470763
2416.181536,997.0644918,5391.63761
2258.586019,3250.005498,1716.185461
3451.285572,655.6173952,1629.126748
1973.019089,1983.267789,2097.587685
3313.168325,1187.665055,3379.924626
3630.348362,1398.543075,4622.20931
2912.773637,3569.464964,3847.380849
4000.982576,4451.588511,4464.399699
3370.835327,762.9436877,4080.076393
1250.699489,879.6302781,4666.378327
1253.205497,4351.766017,4201.365426
3927.716602,1443.034035,2017.228955
1800.740344,3708.021796,3895.07206
3349.248436,1748.228399,649.977191
2403.610535,2674.771276,2338.622916
931.6804337,891.2753485,4788.68966
798.7740554,770.5588054,3327.513278
2763.688617,3969.066312,2567.379427
738.334993,1526.228461,5238.808633
2856.768645,1760.940298,1035.875605
3386.23191,2776.169904,3331.015843
1504.272221,1894.981258,1249.880512
2602.450471,2407.715039,3865.158285
956.476546,2434.348105,3440.988089
1706.424456,737.9444293,1753.51942
4219.171625,2856.219586,6478.546382
2177.046546,3385.514897,1162.075883
2950.573252,2074.669266,6359.169773
3146.650716,5146.759083,2890.393943
3476.483042,2724.209986,5998.83283
756.5544253,592.9072339,4264.981719
2987.398061,1723.12525,2769.46706
3163.064875,3370.462163,5387.606033
1436.963826,1094.676908,1832.77327
1869.829189,1945.805819,3158.975588
643.7435318,3321.539213,2776.615608
2178.653803,4697.454776,3226.747818
2282.534527,3896.357324,709.4413482
830.0649372,3139.232069,5009.537637
1627.924584,1081.359698,4612.734443
3476.629911,3313.784595,6155.643455
3557.23957,3380.932168,4198.507184
1065.688463,2527.197152,2124.427173
3536.303719,2341.071192,4208.737077
4861.781847,2208.64875,3328.415904
2234.791297,4035.515717,4122.714631
2257.905494,2371.3825,2719.403385
1593.485644,653.3655196,3791.583794
807.2879265,2236.14562,5342.260257
3254.443052,963.8626242,4189.147045
1008.920137,4389.837163,4585.33077
2869.109507,1638.035418,6407.799635
2233.538901,954.6079865,4674.082287
1887.926559,2587.55333,6144.962287
3189.662423,2492.566956,623.411801
2568.151488,1156.517386,2518.380719
1476.254908,1860.149351,2682.309152
2538.148038,3724.15427,2286.333939
3343.131275,4133.597298,2047.14661
1538.183711,3249.864048,6878.972159
2583.114882,1874.250338,3550.901527
1766.286006,689.2692099,3733.436731
966.2035765,4867.839131,3358.453812
1417.533612,1089.780421,4710.374095
1936.266447,1345.289508,3821.083015
1382.528641,2392.979496,5325.000668
2354.626514,2249.946412,3139.719514
845.3914108,1931.856457,4667.642422
2746.601289,3517.175066,2523.955836
3661.189875,2835.172662,3373.67696
4643.256922,2277.182858,3859.637309
3418.290872,998.0845549,3366.932047
1580.368498,1777.682753,5915.66606
1342.600682,2934.448043,1121.532676
